"filename", "language", "JavaScript", "JSON", "Pug", "CSS", "comment", "blank", "total"
"d:\实习\houtaiDemo\community_server\app.js", "JavaScript", 35, 0, 0, 0, 5, 9, 49
"d:\实习\houtaiDemo\community_server\backstage\activitieEnroll.js", "JavaScript", 229, 0, 0, 0, 7, 7, 243
"d:\实习\houtaiDemo\community_server\backstage\activitiy.js", "JavaScript", 169, 0, 0, 0, 5, 3, 177
"d:\实习\houtaiDemo\community_server\backstage\admin.js", "JavaScript", 195, 0, 0, 0, 31, 15, 241
"d:\实习\houtaiDemo\community_server\backstage\communityApproval.js", "JavaScript", 225, 0, 0, 0, 5, 4, 234
"d:\实习\houtaiDemo\community_server\backstage\communityInfo.js", "JavaScript", 135, 0, 0, 0, 4, 5, 144
"d:\实习\houtaiDemo\community_server\backstage\news.js", "JavaScript", 148, 0, 0, 0, 3, 4, 155
"d:\实习\houtaiDemo\community_server\backstage\user.js", "JavaScript", 109, 0, 0, 0, 7, 5, 121
"d:\实习\houtaiDemo\community_server\db\dbConfig.js", "JavaScript", 41, 0, 0, 0, 0, 7, 48
"d:\实习\houtaiDemo\community_server\model\activitieEnroll.js", "JavaScript", 44, 0, 0, 0, 0, 1, 45
"d:\实习\houtaiDemo\community_server\model\activity.js", "JavaScript", 60, 0, 0, 0, 22, 0, 82
"d:\实习\houtaiDemo\community_server\model\admin.js", "JavaScript", 36, 0, 0, 0, 0, 1, 37
"d:\实习\houtaiDemo\community_server\model\announcement.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"d:\实习\houtaiDemo\community_server\model\clubinfo.js", "JavaScript", 62, 0, 0, 0, 8, 1, 71
"d:\实习\houtaiDemo\community_server\model\communityApproval.js", "JavaScript", 48, 0, 0, 0, 0, 1, 49
"d:\实习\houtaiDemo\community_server\model\index.js", "JavaScript", 16, 0, 0, 0, 0, 3, 19
"d:\实习\houtaiDemo\community_server\model\lunbotu.js", "JavaScript", 20, 0, 0, 0, 0, 0, 20
"d:\实习\houtaiDemo\community_server\model\news.js", "JavaScript", 31, 0, 0, 0, 5, 0, 36
"d:\实习\houtaiDemo\community_server\model\wxUser.js", "JavaScript", 56, 0, 0, 0, 1, 0, 57
"d:\实习\houtaiDemo\community_server\package-lock.json", "JSON", 0, 1592, 0, 0, 0, 1, 1593
"d:\实习\houtaiDemo\community_server\package.json", "JSON", 0, 21, 0, 0, 0, 1, 22
"d:\实习\houtaiDemo\community_server\public\stylesheets\style.css", "CSS", 0, 0, 0, 7, 0, 2, 9
"d:\实习\houtaiDemo\community_server\routes\backstage.js", "JavaScript", 17, 0, 0, 0, 7, 5, 29
"d:\实习\houtaiDemo\community_server\routes\index.js", "JavaScript", 6, 0, 0, 0, 1, 3, 10
"d:\实习\houtaiDemo\community_server\routes\upload.js", "JavaScript", 20, 0, 0, 0, 3, 4, 27
"d:\实习\houtaiDemo\community_server\routes\users.js", "JavaScript", 157, 0, 0, 0, 6, 8, 171
"d:\实习\houtaiDemo\community_server\routes\wx.js", "JavaScript", 13, 0, 0, 0, 6, 7, 26
"d:\实习\houtaiDemo\community_server\views\error.pug", "Pug", 0, 0, 5, 0, 0, 2, 7
"d:\实习\houtaiDemo\community_server\views\index.pug", "Pug", 0, 0, 4, 0, 0, 2, 6
"d:\实习\houtaiDemo\community_server\views\layout.pug", "Pug", 0, 0, 7, 0, 0, 1, 8
"d:\实习\houtaiDemo\community_server\wechat\activitieEnroll.js", "JavaScript", 80, 0, 0, 0, 3, 6, 89
"d:\实习\houtaiDemo\community_server\wechat\activity.js", "JavaScript", 91, 0, 0, 0, 3, 6, 100
"d:\实习\houtaiDemo\community_server\wechat\clubInfo.js", "JavaScript", 101, 0, 0, 0, 5, 6, 112
"d:\实习\houtaiDemo\community_server\wechat\news.js", "JavaScript", 46, 0, 0, 0, 3, 5, 54
"d:\实习\houtaiDemo\community_server\wechat\user.js", "JavaScript", 158, 0, 0, 0, 9, 12, 179
"Total", "-", 2348, 1613, 16, 7, 149, 138, 4271